storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
1;07.01.1962;03.01.1997;1;5;7;2110 WEST WALNUT;Rogers;AR;72756;Supercenter
2;08.01.1964;03.01.1996;1;5;9;1417 HWY 62/65 N;Harrison;AR;72601;Supercenter
3;04.12.1988;03.01.2000;1;13;11;30983 HWY 441 SOUTH;Commerce;GA;30529;Supercenter
4;08.01.1965;03.01.2002;1;5;7;2901 HWY 412 EAST;Siloam Springs;AR;72761;Supercenter
5;05.01.1972;03.01.1994;1;5;45;1155 HWY 65 NORTH;Conway;AR;72032;Supercenter
7;10.01.1967;;;5;119;3801 CAMP ROBINSON RD.;North Little Rock;AR;72118;Wal-Mart
8;10.01.1967;03.01.1993;1;5;29;1621 NORTH BUSINESS 9;Morrilton;AR;72110;Supercenter
9;03.01.1968;03.01.2000;1;29;143;1303 SOUTH MAIN;Sikeston;MO;63801;Supercenter
10;07.01.1968;03.01.1998;1;40;21;2020 SOUTH MUSKOGEE;Tahlequah;OK;74464;Supercenter
11;03.01.1968;2/20/2002 ;1;5;5;65 WAL-MART DRIVE;Mountain Home;AR;72653;Supercenter
12;07.01.1968;03.01.1994;1;40;131;1500 LYNN RIGGS BLVD;Claremore;OK;74017;Supercenter
13;11.01.1968;03.01.1996;1;29;97;2705 GRAND AVE;Carthage;MO;64836;Supercenter
14;04.01.1969;03.01.1999;1;29;105;1800 S JEFFERSON;Lebanon;MO;65536;Supercenter
15;05.01.1969;03.01.1995;1;29;91;1310 PREACHER RD/HGWY 160;West Plains;MO;65775;Supercenter
16;04.01.1969;03.01.2000;1;5;33;2214 FAYETTEVILLE RD;Van Buren;AR;72956;Supercenter
17;05.01.1969;03.01.1993;1;29;145;3200 LUSK DRIVE;Neosho;MO;64850;Supercenter
18;11.01.1969;;;5;67;2500 MALCOLM ST/HWY 67 NORTH;Newport;AR;72112;Wal-Mart
19;04.03.1990;04.03.1990;0;29;23;333 S WESTWOOD;Poplar Bluff;MO;63901;Supercenter
20;10.01.1970;03.01.1999;1;29;83;1712 EAST OHIO;Clinton;MO;64735;Supercenter
21;03.01.1970;8/22/2001 ;1;29;169;185 ST ROBERT BLVD;St. Robert;MO;65584;Supercenter
22;10.01.1970;5/18/2005 ;1;40;97;4901 SO. MILL ROAD;Pryor;OK;74361;Supercenter
23;11.01.1970;03.01.1994;1;22;61;1201 N SERVICE ROAD EAST;Ruston;LA;71270;Supercenter
24;04.01.1971;03.01.1999;1;5;119;2000 JOHN HARDEN DR;Jacksonville;AR;72076;Supercenter
25;02.01.1971;5/18/2005 ;1;29;7;4820 SO. CLARK ST;Mexico;MO;65265;Supercenter
26;11.01.1970;;;20;103;3450 S. 4TH TRAFFICWAY;Leavenworth;KS;66048;Wal-Mart
27;02.01.1971;03.01.1999;1;29;65;1101 HWY 32 WEST;Salem;MO;65560;Supercenter
28;05.01.1971;03.01.2002;1;40;115;2415 N.W. MAIN ST;Miami;OK;74354;Supercenter
29;08.01.1971;03.01.1989;1;29;51;724 STADIUM WEST BLVD;Jefferson City;MO;65109;Supercenter
30;11.01.1971;5/18/2005 ;1;29;207;2025 BUS. HWY 60 WEST;Dexter;MO;63841;Supercenter
31;06.01.1971;03.01.1995;1;40;79;3108 N BROADWAY;Poteau;OK;74953;Supercenter
32;06.01.1971;;;29;213;2050 WEST HWY 76;Branson;MO;65616;Wal-Mart
33;06.01.1971;9/17/2003 ;1;5;61;1710 SO. 4TH ST;Nashville;AR;71852;Supercenter
34;11.01.1971;5/21/2003 ;1;29;217;2250 LINCOLN AVENUE;Nevada;MO;64772;Supercenter
35;10.01.1971;3/17/2004 ;1;20;161;101 EAST BLUEMONT AVENUE;Manhattan;KS;66502;Supercenter
36;11.01.1971;03.01.1996;1;5;55;2802 WEST KINGS HIGHWAY;Paragould;AR;72450;Supercenter
37;09.01.1971;03.01.1989;1;29;187;701 WALTON DRIVE;Farmington;MO;63640;Supercenter
38;12.09.1971;3/17/2004 ;1;40;89;1907 SE WASHINGTON ST.;Idabel;OK;74745;Supercenter
39;03.01.1972;;;20;11;2400 SOUTH MAIN;Fort Scott;KS;66701;Wal-Mart
40;11.01.1971;03.01.1995;1;29;175;1301 HWY 24 EAST;Moberly;MO;65270;Supercenter
41;05.01.1972;03.01.1994;1;40;147;4000 GREEN COUNTRY RD;Bartlesville;OK;74006;Supercenter
42;02.01.1973;;;20;125;1705 WEST 11TH STREET;Coffeyville;KS;67337;Wal-Mart
43;05.01.1972;03.01.2000;1;20;61;521 EAST CHESTNUT ST;Junction City;KS;66441;Supercenter
44;02.01.1972;;;29;131;1802 SOUTH BUSINESS HWY 54;Eldon;MO;65026;Wal-Mart
45;08.01.1972;03.01.1994;1;5;31;1815 EAST HIGHLAND DRIVE;Jonesboro;AR;72401;Supercenter
46;08.01.1972;03.01.1999;1;29;167;2451 S. SPRINGFIELD;Bolivar;MO;65613;Supercenter
47;07.01.1972;3/14/2001 ;1;40;135;1101 WEST RUTH AVE;Sallisaw;OK;74955;Supercenter
48;11.01.1972;03.01.1999;1;29;9;885 HIGHWAY 60;Monett;MO;65708;Supercenter
49;10.01.1972;03.01.2002;1;40;23;1911 E.JACKSON ST.;Hugo;OK;74743;Supercenter
50;09.01.1973;1/22/2003 ;1;40;35;268 SO. 7TH ST.;Vinita;OK;74301;Supercenter
