WEEK_NO,COVID_DEATHS,ALL_DEATHS
1,0,3222
2,0,3404
3,0,3594
4,0,3560
5,0,3894
6,0,3362
7,0,3442
8,0,3436
9,0,3536
10,0,3488
11,1,3436
12,7,3672
13,60,3530
14,118,3656
15,151,3586
16,106,3408
17,93,3176
18,60,2960
19,19,3040
20,13,2978
21,11,2962
22,29,2834
23,4,2980
24,5,2922
25,11,2826
26,12,2874
27,5,3122
28,1,2766
29,4,2886
30,2,2904
31,6,3052
32,3,2866
33,7,3214
34,4,2954
35,1,2994
36,2,3044
37,19,3136
38,11,3138
39,22,3064
40,22,3164
41,49,3248
42,49,3234
43,71,3546
44,119,3778
45,221,4002
46,311,4572
47,526,4862
