REF_YEAR;NUTS0;NUTS1;NUTS2;BL_CODE;BUNDESLAND;WEEK_NO;DEATHS_65PLUS;DEATHS_0_64;LOWER_MARGIN_65_PLUS;LOWER_MARGIN_0_64;UPPER_MARGIN_65_PLUS;UPPER_MARGIN_0_64
2007;AT;AT1;AT11;1;Burgenland;1;53;16;33;3;69;19
2007;AT;AT1;AT11;1;Burgenland;2;62;13;34;3;71;19
2007;AT;AT1;AT11;1;Burgenland;3;60;6;35;3;73;19
2007;AT;AT1;AT11;1;Burgenland;4;45;13;36;3;74;19
2007;AT;AT1;AT11;1;Burgenland;5;44;9;37;3;75;19
2007;AT;AT1;AT11;1;Burgenland;6;52;9;37;3;76;19
2007;AT;AT1;AT11;1;Burgenland;7;64;17;38;3;76;18
2007;AT;AT1;AT11;1;Burgenland;8;51;11;38;3;77;18
2007;AT;AT1;AT11;1;Burgenland;9;41;11;38;3;76;18
2007;AT;AT1;AT11;1;Burgenland;10;46;11;38;3;76;18
2007;AT;AT1;AT11;1;Burgenland;11;50;5;37;2;75;18
2007;AT;AT1;AT11;1;Burgenland;12;47;9;36;2;74;18
2007;AT;AT1;AT11;1;Burgenland;13;44;9;35;2;73;17
2007;AT;AT1;AT11;1;Burgenland;14;53;4;34;2;71;17
2007;AT;AT1;AT11;1;Burgenland;15;50;8;33;2;70;17
2007;AT;AT1;AT11;1;Burgenland;16;46;7;32;2;68;17
2007;AT;AT1;AT11;1;Burgenland;17;42;9;31;2;66;17
2007;AT;AT1;AT11;1;Burgenland;18;36;5;30;2;65;17
2007;AT;AT1;AT11;1;Burgenland;19;49;7;30;2;65;17
2007;AT;AT1;AT11;1;Burgenland;20;51;9;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;21;62;6;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;22;52;8;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;23;40;3;29;2;64;18
2007;AT;AT1;AT11;1;Burgenland;24;34;12;29;2;64;18
2007;AT;AT1;AT11;1;Burgenland;25;46;9;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;26;35;4;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;27;42;11;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;28;42;14;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;29;74;11;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;30;59;12;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;31;44;6;30;3;65;18
2007;AT;AT1;AT11;1;Burgenland;32;37;5;30;2;64;18
2007;AT;AT1;AT11;1;Burgenland;33;51;7;29;2;64;18
2007;AT;AT1;AT11;1;Burgenland;34;42;9;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;35;52;11;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;36;28;8;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;37;53;5;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;38;38;9;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;39;47;7;29;2;64;17
2007;AT;AT1;AT11;1;Burgenland;40;57;8;30;2;65;17
2007;AT;AT1;AT11;1;Burgenland;41;52;7;30;2;65;17
2007;AT;AT1;AT11;1;Burgenland;42;52;5;31;2;66;16
2007;AT;AT1;AT11;1;Burgenland;43;53;9;31;2;67;17
2007;AT;AT1;AT11;1;Burgenland;44;50;11;32;2;68;17
2007;AT;AT1;AT11;1;Burgenland;45;52;11;33;2;69;17
2007;AT;AT1;AT11;1;Burgenland;46;64;7;33;2;70;17
2007;AT;AT1;AT11;1;Burgenland;47;42;11;34;2;71;17
2007;AT;AT1;AT11;1;Burgenland;48;47;10;35;2;73;18
2007;AT;AT1;AT11;1;Burgenland;49;58;8;36;2;74;18
2007;AT;AT1;AT11;1;Burgenland;50;54;7;37;3;75;18
2007;AT;AT1;AT11;1;Burgenland;51;47;9;38;3;77;19
2007;AT;AT1;AT11;1;Burgenland;52;74;10;39;3;78;19
2008;AT;AT1;AT11;1;Burgenland;1;55;14;34;4;71;21
2008;AT;AT1;AT11;1;Burgenland;2;52;18;35;4;72;21
2008;AT;AT1;AT11;1;Burgenland;3;62;7;36;3;73;20
2008;AT;AT1;AT11;1;Burgenland;4;68;9;36;3;74;20
2008;AT;AT1;AT11;1;Burgenland;5;64;13;37;3;75;19
2008;AT;AT1;AT11;1;Burgenland;6;58;7;37;3;75;19
2008;AT;AT1;AT11;1;Burgenland;7;48;6;37;3;75;18
2008;AT;AT1;AT11;1;Burgenland;8;52;11;37;2;75;18
2008;AT;AT1;AT11;1;Burgenland;9;50;6;37;2;75;18
2008;AT;AT1;AT11;1;Burgenland;10;51;9;37;2;75;17
2008;AT;AT1;AT11;1;Burgenland;11;50;8;36;2;74;17
2008;AT;AT1;AT11;1;Burgenland;12;61;10;36;2;73;17
2008;AT;AT1;AT11;1;Burgenland;13;52;6;35;2;72;16
2008;AT;AT1;AT11;1;Burgenland;14;40;8;34;2;71;16
2008;AT;AT1;AT11;1;Burgenland;15;62;12;33;2;70;16
2008;AT;AT1;AT11;1;Burgenland;16;44;8;32;2;68;17
2008;AT;AT1;AT11;1;Burgenland;17;42;8;31;2;67;17
2008;AT;AT1;AT11;1;Burgenland;18;40;11;31;2;66;17
2008;AT;AT1;AT11;1;Burgenland;19;44;5;30;2;65;17
2008;AT;AT1;AT11;1;Burgenland;20;40;7;30;2;65;17
2008;AT;AT1;AT11;1;Burgenland;21;44;9;29;2;64;17
2008;AT;AT1;AT11;1;Burgenland;22;39;15;29;2;64;18
2008;AT;AT1;AT11;1;Burgenland;23;50;8;29;2;64;18
2008;AT;AT1;AT11;1;Burgenland;24;39;13;29;3;64;18
2008;AT;AT1;AT11;1;Burgenland;25;39;14;29;3;64;18
2008;AT;AT1;AT11;1;Burgenland;26;51;7;30;3;64;18
2008;AT;AT1;AT11;1;Burgenland;27;46;8;30;3;64;18
2008;AT;AT1;AT11;1;Burgenland;28;51;8;30;3;64;19
2008;AT;AT1;AT11;1;Burgenland;29;47;10;30;3;64;19
2008;AT;AT1;AT11;1;Burgenland;30;38;10;30;3;64;19
2008;AT;AT1;AT11;1;Burgenland;31;58;8;30;3;64;19
2008;AT;AT1;AT11;1;Burgenland;32;53;6;30;3;65;19
2008;AT;AT1;AT11;1;Burgenland;33;41;6;30;3;65;18
2008;AT;AT1;AT11;1;Burgenland;34;40;9;30;3;65;18
2008;AT;AT1;AT11;1;Burgenland;35;36;10;30;2;65;18
2008;AT;AT1;AT11;1;Burgenland;36;46;11;30;2;65;17
2008;AT;AT1;AT11;1;Burgenland;37;59;5;31;2;66;17
2008;AT;AT1;AT11;1;Burgenland;38;55;8;31;2;67;17
2008;AT;AT1;AT11;1;Burgenland;39;52;8;31;2;67;17
2008;AT;AT1;AT11;1;Burgenland;40;50;8;32;2;68;17
2008;AT;AT1;AT11;1;Burgenland;41;47;8;33;2;69;17
2008;AT;AT1;AT11;1;Burgenland;42;62;2;33;2;70;17
2008;AT;AT1;AT11;1;Burgenland;43;49;7;34;2;71;17
2008;AT;AT1;AT11;1;Burgenland;44;29;9;34;2;71;17
2008;AT;AT1;AT11;1;Burgenland;45;49;8;35;2;72;17
2008;AT;AT1;AT11;1;Burgenland;46;56;10;35;2;72;17
2008;AT;AT1;AT11;1;Burgenland;47;55;5;35;2;73;17
2008;AT;AT1;AT11;1;Burgenland;48;59;7;36;2;73;17
2008;AT;AT1;AT11;1;Burgenland;49;47;7;36;2;73;18
2008;AT;AT1;AT11;1;Burgenland;50;59;10;36;2;74;18
2008;AT;AT1;AT11;1;Burgenland;51;46;7;36;3;74;18
2008;AT;AT1;AT11;1;Burgenland;52;67;8;36;3;74;18
2009;AT;AT1;AT11;1;Burgenland;1;76;10;36;5;74;23
2009;AT;AT1;AT11;1;Burgenland;2;50;11;37;4;75;22
2009;AT;AT1;AT11;1;Burgenland;3;75;14;37;4;75;21
2009;AT;AT1;AT11;1;Burgenland;4;73;13;37;4;76;21
2009;AT;AT1;AT11;1;Burgenland;5;73;7;38;3;76;20
2009;AT;AT1;AT11;1;Burgenland;6;55;7;38;3;76;19
2009;AT;AT1;AT11;1;Burgenland;7;55;7;38;3;77;19
2009;AT;AT1;AT11;1;Burgenland;8;56;3;38;3;77;18
2009;AT;AT1;AT11;1;Burgenland;9;52;5;38;2;76;18
2009;AT;AT1;AT11;1;Burgenland;10;55;11;38;2;76;18
2009;AT;AT1;AT11;1;Burgenland;11;47;10;37;2;76;17
2009;AT;AT1;AT11;1;Burgenland;12;49;7;37;2;75;17
2009;AT;AT1;AT11;1;Burgenland;13;43;8;36;2;74;17
2009;AT;AT1;AT11;1;Burgenland;14;65;7;36;2;73;17
2009;AT;AT1;AT11;1;Burgenland;15;42;10;35;2;72;17
2009;AT;AT1;AT11;1;Burgenland;16;50;10;34;2;71;17
2009;AT;AT1;AT11;1;Burgenland;17;43;12;33;2;70;18
2009;AT;AT1;AT11;1;Burgenland;18;47;11;33;2;69;18
2009;AT;AT1;AT11;1;Burgenland;19;50;7;32;2;68;18
2009;AT;AT1;AT11;1;Burgenland;20;49;10;31;2;66;18
2009;AT;AT1;AT11;1;Burgenland;21;65;12;30;2;65;18
2009;AT;AT1;AT11;1;Burgenland;22;51;11;30;2;65;18
2009;AT;AT1;AT11;1;Burgenland;23;51;6;30;2;64;18
2009;AT;AT1;AT11;1;Burgenland;24;38;9;29;2;64;18
2009;AT;AT1;AT11;1;Burgenland;25;49;10;30;2;64;18
2009;AT;AT1;AT11;1;Burgenland;26;38;7;30;2;65;17
2009;AT;AT1;AT11;1;Burgenland;27;43;10;30;2;65;17
2009;AT;AT1;AT11;1;Burgenland;28;41;6;30;2;66;17
2009;AT;AT1;AT11;1;Burgenland;29;41;13;31;2;66;17
2009;AT;AT1;AT11;1;Burgenland;30;27;11;31;2;66;17
