A,B
0,297
0,299
0,1
0,2
0,3
0,4
0,201
0,57
1,296
1,297
1,299
1,2
1,3
1,4
1,5
1,18
1,23
1,159
2,298
2,299
2,3
2,4
2,5
3,4
3,5
3,6
3,88
4,5
4,6
4,7
4,9
4,11
5,6
5,7
5,8
5,9
5,11
6,7
6,8
6,9
6,10
6,11
7,8
7,9
7,10
7,11
7,13
7,56
8,9
8,10
8,12
8,13
8,282
8,83
8,116
9,10
9,11
9,12
9,13
9,79
10,11
10,13
10,14
10,16
10,166
11,12
11,13
11,14
11,15
11,17
12,13
12,14
12,15
12,16
13,14
13,15
13,16
13,17
13,18
13,19
14,15
14,16
14,17
14,18
14,19
14,22
15,16
15,17
15,18
15,19
15,22
15,174
16,17
16,18
16,19
16,20
16,21
16,22
16,215
17,18
17,19
17,20
17,21
17,22
17,24
18,19
18,20
18,24
18,117
19,20
19,21
19,22
19,23
19,24
20,21
20,22
20,23
20,24
20,25
21,22
21,23
21,24
21,25
22,24
22,25
22,26
22,27
22,28
22,29
23,24
23,25
23,26
23,27
23,28
23,88
23,119
23,140
23,245
24,25
24,26
24,27
24,28
24,29
24,30
25,26
25,27
25,28
25,29
25,31
25,242
25,251
26,27
26,28
26,29
26,30
26,273
27,28
27,29
27,30
27,60
28,29
28,30
28,31
28,32
29,31
29,32
30,31
30,32
30,33
30,34
30,35
30,113
31,32
31,33
31,34
31,35
31,36
31,38
31,169
32,33
32,34
32,35
32,38
33,34
33,35
33,36
33,37
33,38
34,35
34,36
34,37
34,38
34,271
34,270
35,36
35,38
35,39
35,272
36,37
36,38
36,40
36,41
36,98
37,38
37,39
37,40
37,131
38,39
38,40
38,41
38,43
38,44
39,40
39,41
39,43
40,41
40,42
40,43
40,85
41,42
41,43
41,44
41,45
41,137
42,43
42,44
42,45
42,48
43,44
43,45
43,46
43,47
43,49
44,45
44,46
44,47
44,48
44,49
45,46
45,47
45,48
45,49
45,200
46,48
46,49
46,180
46,210
47,48
47,49
47,50
47,153
47,117
48,49
48,51
49,50
49,51
49,52
49,53
49,54
50,51
50,52
50,53
50,54
50,120
51,52
51,53
51,54
51,229
52,53
52,54
53,54
53,55
53,56
53,58
54,55
54,56
54,57
54,58
55,56
55,57
55,58
55,277
55,165
56,57
56,58
56,59
56,60
57,58
57,59
57,60
57,211
58,59
58,61
58,62
59,61
59,62
59,63
59,64
59,158
60,61
60,63
60,64
60,66
60,79
60,243
61,62
61,63
61,64
61,65
61,66
62,63
62,64
62,65
62,66
62,67
63,64
63,65
63,66
63,67
63,68
63,282
64,65
64,66
64,68
64,98
65,67
65,68
65,70
66,67
66,68
66,69
66,70
66,71
66,107
66,83
66,109
67,68
67,69
67,71
67,148
68,70
68,71
68,72
69,70
69,71
69,72
69,127
70,71
70,74
70,103
71,72
71,73
71,74
71,76
72,73
72,74
72,76
72,77
73,74
73,75
73,76
73,77
73,153
74,75
74,76
75,77
75,78
75,80
75,271
75,250
76,77
76,78
76,79
76,80
77,78
77,79
77,80
77,81
77,83
77,112
77,97
78,79
78,80
78,81
78,83
78,294
79,81
79,82
79,83
80,81
80,82
80,83
80,84
80,253
81,82
81,85
81,88
82,84
82,85
82,86
83,84
83,86
83,87
83,231
84,85
84,86
84,87
84,88
84,219
85,86
85,87
85,277
86,87
86,88
86,89
87,88
87,89
87,90
87,91
88,90
88,91
88,92
88,93
88,94
88,296
88,189
89,90
89,91
89,94
89,226
89,101
90,91
90,92
90,94
91,93
91,94
92,93
92,94
92,95
92,298
92,227
93,94
93,95
93,96
93,151
94,95
94,96
94,98
95,96
95,97
95,98
96,97
96,98
96,99
97,99
97,150
98,99
98,100
99,100
99,101
99,102
99,103
99,104
99,277
100,101
100,102
100,103
100,104
101,102
101,103
101,104
101,106
101,289
102,103
102,104
102,105
102,106
102,284
103,104
103,105
103,107
103,108
104,105
104,106
104,107
104,109
